product_name,image_url,product_lables
BOTTLE,https://m.media-amazon.com/images/I/51Np+iuzhSL._AC_UL320_.jpg,Font Twig Pattern Rectangle Jewellery Metal Electric blue Fashion accessory Circle Body jewelry Vacuum flask
BOTTLE,https://m.media-amazon.com/images/I/51Da+TBexCL._AC_UL320_.jpg,Window Door Tints and shades Font Wood Metal Monochrome photography Monochrome Window treatment Pattern Vacuum flask
BOTTLE,https://m.media-amazon.com/images/I/41GC5Z0FrhL._AC_UL320_.jpg,Liquid Cylinder Gas Glass Rectangle Metal Transparent material Font Transparency Pattern Vacuum flask
BOTTLE,https://m.media-amazon.com/images/I/61c-GtJ+0eL._AC_UL320_.jpg,Liquid Bottle Drinkware Water Fluid Drink Cylinder Glass bottle Tints and shades Gas Vacuum flask
BOTTLE,https://m.media-amazon.com/images/I/611Ugi6GpNL._AC_UL320_.jpg,Liquid Bottle Drinkware Azure Solution Fluid Plastic bottle Water bottle Aqua Drink
BOTTLE,https://m.media-amazon.com/images/I/61vviYkktmL._AC_UL320_.jpg,Colorfulness Blue Electric blue Tints and shades Parallel Symmetry Magenta Pattern Rectangle Art
BOTTLE,https://m.media-amazon.com/images/I/61vyyDN4a2L._AC_UL320_.jpg,Colorfulness Blue Purple Rectangle Violet Material property Magenta Tints and shades Electric blue Parallel
BOTTLE,https://m.media-amazon.com/images/I/612I0tsJwQS._AC_UL320_.jpg,Liquid Product Blue Azure Fluid Cylinder Material property Violet Gas Electric blue Bottle Bottle Bottle Bottle Bottle Bottle Tableware Tableware
BOTTLE,https://m.media-amazon.com/images/I/61ZHrwUreAL._AC_UL320_.jpg,Azure Human body Rectangle Aqua Material property Tints and shades Font Magenta Linens Electric blue
KEYBOARD,https://m.media-amazon.com/images/I/510OM8sOrkL._AC_UY218_.jpg,Computer keyboard Peripheral Input device Space bar Rectangle Office equipment Keyboard Computer Laptop accessory Computer hardware Computer keyboard Computer keyboard
KEYBOARD,https://m.media-amazon.com/images/I/61rsK1maJrL._AC_UY218_.jpg,Input device Space bar Peripheral Office equipment Office supplies Gadget Font Laptop accessory Numeric keypad Electronic device
KEYBOARD,https://m.media-amazon.com/images/I/61-kTKQuDUL._AC_UY218_.jpg,Computer keyboard Peripheral Input device Computer Office equipment Rectangle Laptop accessory Space bar Font Laptop part Computer keyboard
KEYBOARD,https://m.media-amazon.com/images/I/51HjGhVf9IL._AC_UY218_.jpg,Computer keyboard Computer Peripheral Input device Office equipment Laptop accessory Rectangle Computer hardware Font Composite material Computer keyboard
KEYBOARD,https://m.media-amazon.com/images/I/712n88HBTYL._AC_UY218_.jpg,Communication Device Gadget Font Input device Office supplies Electronic device Technology Calculator Peripheral Multimedia Computer keyboard Mouse
KEYBOARD,https://m.media-amazon.com/images/I/715q3cqCirL._AC_UY218_.jpg,Peripheral Input device Office equipment Computer keyboard Space bar Gadget Electronic instrument Font Computer hardware Numeric keypad Mouse Computer keyboard
KEYBOARD,https://m.media-amazon.com/images/I/613Tk-Ci6NL._AC_UY218_.jpg,Input device Peripheral Office equipment Computer Gadget Laptop accessory Space bar Font Laptop part Computer hardware Computer keyboard
TSHIRT,https://m.media-amazon.com/images/I/71Kt+6FRcEL._AC_UL320_.jpg,White Beard Black Neck Sleeve Gesture Grey Smile Jersey T-shirt Top Top
TSIHRT,https://m.media-amazon.com/images/I/61hjQIFjtUL._AC_UL320_.jpg,White Muscle Smile Product Black Neck Jersey Dress shirt Sleeve Gesture Top Top
TSHIRT,https://m.media-amazon.com/images/I/71eUwDk8z+L._AC_UL320_.jpg,Muscle Dress shirt Black Neck Sleeve Gesture Collar Elbow Button Chest Top Top
TSHIRT,https://m.media-amazon.com/images/I/61xoc0hYPiL._AC_UL320_.jpg,Shoulder Polo shirt Neck Sleeve Gesture Jersey Grey Collar Elbow T-shirt Top Pants Top
TSHIRT,https://m.media-amazon.com/images/I/61EcUsYCJ+L._AC_UL320_.jpg,Joint Shoulder Arm Polo shirt Muscle Product Azure Neck Jersey Sleeve Top Jeans
TSHIRT,https://m.media-amazon.com/images/I/81F+zV1Y32L._AC_UL320_.jpg,Joint Arm Polo shirt Muscle Dress shirt Neck Jersey Sleeve Gesture Collar Top Top
TSHIRT,https://m.media-amazon.com/images/I/714KPmfTO3L._AC_UL320_.jpg,Joint Shoulder White Human body Neck Sleeve Cap Gesture Grey Hat Top Top Jeans
TSHIRT,https://m.media-amazon.com/images/I/81Yw-UfQuwL._AC_UL320_.jpg,Watch Joint Jeans Muscle Dress shirt Azure Human body Neck Sleeve Jersey Top
CHAIR,https://m.media-amazon.com/images/I/41eaJ88hR-L._AC_UL480_FMwebp_QL65_.jpg,Nilkamal Plastics Furniture Chair Outdoor furniture Wood Comfort Rectangle Armrest Hardwood Plant Terrestrial plant Chair
CHAIR,https://m.media-amazon.com/images/I/41b0zi94czL._AC_UL480_FMwebp_QL65_.jpg,Material property Composite material Drinkware Electric blue Event Font Serveware Auto part Plastic Metal Chair
